country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","30-11-2025 23:00:00",14.675886,77.593027,PM2.5,53,136,89
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","30-11-2025 23:00:00",13.204880,79.097889,PM2.5,28,87,46
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","30-11-2025 23:00:00",13.204880,79.097889,NO2,21,24,23
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","30-11-2025 23:00:00",13.204880,79.097889,OZONE,52,57,55
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","30-11-2025 23:00:00",14.465052,78.824187,PM10,57,124,91
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","30-11-2025 23:00:00",14.465052,78.824187,NO2,25,25,25
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","30-11-2025 23:00:00",16.536107,80.594233,PM10,43,52,47
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","30-11-2025 23:00:00",16.536107,80.594233,NO2,22,22,22
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","30-11-2025 23:00:00",16.536107,80.594233,NH3,4,4,4
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","30-11-2025 23:00:00",16.5150833,80.5181667,PM2.5,9,66,38
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","30-11-2025 23:00:00",16.5150833,80.5181667,NO2,17,36,23
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","30-11-2025 23:00:00",16.5150833,80.5181667,CO,13,30,24
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","30-11-2025 23:00:00",16.509717,80.612222,CO,37,37,37
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","30-11-2025 23:00:00",16.554731,80.649110,PM10,42,73,53
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","30-11-2025 23:00:00",16.509717,80.612222,PM10,33,44,38
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","30-11-2025 23:00:00",16.509717,80.612222,NO2,44,62,52
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","30-11-2025 23:00:00",16.9872867,81.7363176,SO2,4,11,7
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","30-11-2025 23:00:00",16.509717,80.612222,PM2.5,39,48,43
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","30-11-2025 23:00:00",13.615387,79.409230,OZONE,16,17,17
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","30-11-2025 23:00:00",13.615387,79.409230,CO,30,38,33
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","30-11-2025 23:00:00",13.67,79.35,PM2.5,10,30,16
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","30-11-2025 23:00:00",25.5626095,84.663264,NO2,5,9,7
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","30-11-2025 23:00:00",25.42742023,86.13886079,PM10,51,74,63
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","30-11-2025 23:00:00",25.42742023,86.13886079,SO2,4,6,5
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","30-11-2025 23:00:00",25.42742023,86.13886079,OZONE,7,10,9
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","30-11-2025 23:00:00",26.80365,84.51954,SO2,7,20,10
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","30-11-2025 23:00:00",26.80365,84.51954,OZONE,22,28,24
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","30-11-2025 23:00:00",25.251013,86.989001,CO,14,18,17
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","30-11-2025 23:00:00",25.251013,86.989001,OZONE,11,28,16
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","30-11-2025 23:00:00",25.265194,87.012947,PM2.5,47,88,76
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","30-11-2025 23:00:00",26.10887,91.589544,PM2.5,36,83,67
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","30-11-2025 23:00:00",26.10887,91.589544,NO2,11,20,15
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","30-11-2025 23:00:00",26.10887,91.589544,NH3,4,6,5
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","30-11-2025 23:00:00",26.10887,91.589544,SO2,8,41,15
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","30-11-2025 23:00:00",26.10887,91.589544,CO,22,124,48
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","30-11-2025 23:00:00",26.187500,91.744194,SO2,26,48,36
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","30-11-2025 23:00:00",26.187500,91.744194,CO,15,60,41
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","30-11-2025 23:00:00",26.187500,91.744194,OZONE,17,18,18
